num_ratings,rmse,mae,std_error,num_users,num_predictions,rmse_improvement,rmse_rolling_mean,rmse_rolling_std
11,0.9376964682470069,0.7857472708595034,0.5117381096808723,1,9,,0.9376964682470069,
13,0.9040845768390934,0.7548785628381951,0.49752113266238585,3,21,0.03361189140791354,0.9208905225430501,0.02376719634304152
14,0.8428512039035869,0.7216649535272818,0.4354283486088063,4,28,0.06123337293550646,0.8948774163298957,0.04808830310558794
15,1.0791923676560924,0.8817947332939561,0.6221689599636127,8,48,0.23634116375250547,0.9409561541614448,0.10017313471008331
16,1.1087458876144944,0.8663643957729703,0.6919033003527221,10,47,0.029553519958402052,0.9745141008520548,0.11470253536292237
17,0.8053767526701227,0.6380477089854045,0.49145379721795673,16,87,0.3033691349443718,0.948050157736678,0.13818184534159705
18,1.0099785219206423,0.8022360666129099,0.613574696484831,12,53,0.20460176925051965,0.9692289467529879,0.1378734328957985
19,1.0126711638374437,0.824082182718907,0.5885502885846924,18,103,0.002692641916801408,1.0031929387397591,0.11851630960864139
20,1.1101962849114104,0.9086771154817025,0.6378414307889935,11,56,0.09752512107396671,1.0093937221908227,0.1241632160628621
21,0.9791499932523818,0.7845479172208871,0.5858491912348327,13,75,0.1310462916590286,0.9834745433184002,0.11107523136473538
22,1.183179890878206,0.9370241226200479,0.7224267767785831,13,68,0.20402989762582424,1.059035170960017,0.08509874948130554
23,0.8342829541605263,0.6565069746513028,0.5148073812961584,10,60,0.34889693671767974,1.0238960574079936,0.13313565101836067
24,1.2937708901784772,0.8703014839902263,0.9572974685214721,8,51,0.4594879360179509,1.0801160026762004,0.1787480224965835
25,0.8899345042583464,0.6605271485979758,0.5963952614119069,11,59,0.4038363859201308,1.0360636465455877,0.1958089315784491
26,0.834721973365309,0.6533959642461376,0.5194559526328825,16,117,0.05521253089303746,1.0071780425681731,0.2159235776760668
27,0.9711849132108764,0.7706774849846797,0.5909791449671521,11,71,0.13646293984556745,0.9647790470347071,0.19223842372616262
28,1.087029998805544,0.9025313680311436,0.6058641333030146,6,51,0.11584508559466766,1.0153284559637106,0.18231997796797342
29,0.8530953634326084,0.7015928852681864,0.4853237295365589,9,60,0.23393463537293568,0.9271933506145368,0.10357690455789356
30,0.9349044474202187,0.6747969169358431,0.6470668023473198,7,46,0.08180908398761033,0.9361873392469112,0.10146363986144982
31,0.8075704376630503,0.5678215776583435,0.5742374663263278,5,40,0.12733400975716846,0.9307570321064595,0.10871881918173472
32,1.2205340500219493,0.8602338086028334,0.8658528522789803,5,39,0.412963612358899,0.9806268594686742,0.17115813938635713
33,0.6087058689794909,0.5029951303833371,0.34281005490027133,10,79,0.6118281810424584,0.8849620335034635,0.22272473772784102
34,0.7264882915587646,0.5414007218319895,0.48442800927668633,6,53,0.11778242257927374,0.8596406191286947,0.23415689573371465
35,1.1935781043573122,0.9109774714152423,0.7711995447191898,8,66,0.46708981279854755,0.9113753505161135,0.27918855425665023
36,0.9130860563194872,0.7387583986750288,0.5366210717370136,5,53,0.2804920480378249,0.9324784742474008,0.2733064912957144
37,0.7790202966551185,0.5755801846883326,0.5249572112037073,5,50,0.13406575966436873,0.8441757235740347,0.22381480703375178
38,0.8967347021545167,0.7761935262360801,0.44906206238931995,2,17,0.11771440549939816,0.9017814902090399,0.1810362832755058
39,0.9146567143427168,0.681040573885073,0.6105576482319295,7,66,0.01792201218820011,0.9394151747658303,0.15285053016401692
40,1.1217327672083128,0.8653337048807908,0.7137800643238107,10,110,0.20707605286559605,0.9250461073360304,0.12355332606527855
41,0.8513983661616276,0.6352957990936482,0.5668142778341524,8,77,0.27033440104668527,0.9127085693044584,0.12804449447705987
42,0.7578232401031335,0.5834455551308906,0.4836190106255321,4,66,0.09357512605849405,0.9084691579940614,0.13379893327310965
43,0.9454407766179633,0.7237905824428358,0.6082642968800968,9,101,0.18761753651482982,0.9182103728867508,0.13450219791139237
44,0.9326108814948589,0.7645562999957869,0.5340568512989698,4,45,0.012829895123104396,0.9218012063171793,0.13462321559400578
45,0.7894487165423323,0.6426838627725536,0.45846126181181907,7,86,0.14316216495252665,0.8553443961839831,0.0835997236109638
46,0.970654926569576,0.7796196921608916,0.5782422693549352,3,38,0.18120621002724369,0.8791957082655728,0.0979696087775702
47,0.9850579976190672,0.7840403430410104,0.5963388291545509,6,77,0.014403071049491234,0.9246426597687595,0.07832719554978382
48,0.7216374398802698,0.5555958518158566,0.4605147598958829,6,75,0.26342055773879736,0.8798819924212209,0.11758142836061744
49,1.0106712479099424,0.7842846641329179,0.6374589688425104,6,51,0.2890338080296726,0.8954940657042375,0.13077497718282607
50,0.9857822308134092,0.7513374461832393,0.6381681976958032,5,57,0.02488901709653324,0.9347607685584529,0.12000556814516898
